我是一个数据控，喜欢分析图表和趋势。,A,1.5,F,-0.5
我喜欢随机漫步，没有明确的目的地。,A,-2,S,-0.5
我的生活非常有条理，不喜欢突发状况。,F,-1,C,0.5
我对科幻作品中的外星文明、赛博朋克题材很感兴趣。,F,1,,
我更喜欢读历史书，了解人类过去的辉煌与教训。,F,-1,A,-0.5
即使下大雨，如果计划好了，我也会出门完成任务。,A,1,C,1
我觉得手机只是工具，不想被它绑架。,C,-1,A,-1
我喜欢收集各种徽章、纪念品。,A,1.5,,
遇到不公义的事情，我会挺身而出。,C,1,F,-0.5
我追求内心的平静。,C,-2,F,0.5
我喜欢高强度的运动或挑战。,C,1,A,1
我经常熬夜。,S,-0.5,C,0.5
我对加密代码、解谜游戏很着迷。,A,1,,
我觉得身体的锻炼比精神的冥想更实在。,F,-1,,
我喜欢尝试新鲜事物，哪怕有风险。,F,1.5,,
我是一个怀旧的人，喜欢老歌、老电影。,F,-1,,
我觉得效率至上，不想在无意义的事情上浪费时间。,A,1,,
我喜欢在大自然中独处。,S,-2,A,-1
我很容易受到群体情绪的感染。,S,1.5,,
我认为规则就是用来打破的。,F,1,C,1
