我喜欢极简主义。,F,-0.5,C,-0.5
我喜欢繁复巴洛克风格。,F,0.5,A,-0.5
我相信宿命论。,F,1,,
我相信人定胜天。,F,-1,,
我对网络安全很敏感。,F,-1,C,0.5
我愿意分享我的位置信息。,F,1,S,1
探索未知是人类的天性。,F,1.5,A,-1
筑墙是为了保护墙内的人。,F,-2,C,1
打破墙是为了连接墙外的人。,F,2,S,1
完美是不存在的。,F,1,,
必须追求完美。,F,-1,A,1
过程比结果重要。,A,-2,F,0.5
结果比过程重要。,A,2,F,-0.5
历史是由胜利者书写的。,C,1,F,-1
真相往往被掩盖在谎言之下。,F,1,C,0.5
我们的世界可能是一个模拟程序。,F,1,,
物质世界是唯一的真实。,F,-2,,
我喜欢通过行走来思考。,A,-1,S,-1
我做事有很强的计划性。,A,1,F,-1
我做事比较随性。,A,-1,F,1
竞争促进进步。,C,1,F,-0.5
合作促进共赢。,S,1,F,0.5
即使没有回报，我也会做我认为对的事。,F,0.5,,
没有利益驱动，人不会行动。,F,-0.5,A,1
我喜欢复盘和反思。,A,1,,
过去了就过去了，我不回头看。,A,-1,F,0.5
我有收藏癖。,A,1.5,,
我是极客（Geek）。,F,-1,A,1
我是嬉皮士（Hippie）。,F,2,A,-1
我相信每个人都有潜能等待被唤醒。,F,2,,
人类的弱点是无法根除的。,F,-1,,
我喜欢看地图。,A,-1,C,0.5
我对符号和图腾感兴趣。,F,1,,
我对机械结构感兴趣。,F,-1,,
混沌中有大美。,F,2,,
秩序中有大美。,F,-2,,
我愿意为了一个信念等待很久。,F,-0.5,,
我只争朝夕。,F,0.5,,
